sex,destcode,origincode,Y2000,Y1990,Y1980,Y1970,Y1960
Male,FRA,AFG,923,91,55,29,1471
Male,FRA,DZA,425229,861691,794288,723746,521679
Male,FRA,AUS,9168,903,1483,1906,14614
Male,FRA,AUT,7764,2761,4686,4861,12375
Male,FRA,AZE,118,12,20,4,188
Male,FRA,BLR,245,88,26,0,390
Male,FRA,BLZ,391,38,25,22,623
Male,FRA,BEN,166,397,4409,5736,233
Male,FRA,ALB,10017,3586,4,17,15967
Male,FRA,ASM,0,0,0,0,0
Male,FRA,AND,122,43,436,0,194
Male,FRA,AGO,4558,10907,76,130,6408
Male,FRA,AIA,1,0,0,0,2
Male,FRA,ATG,2,0,0,0,4
Male,FRA,ARG,5572,549,4224,4217,8882
Male,FRA,ARM,917,90,167,29,1461
Male,FRA,ABW,45,4,3,2,71
Male,FRA,BHS,9,0,0,0,14
Male,FRA,BHR,16,2,0,0,26
Male,FRA,BGD,7251,714,427,225,11558
Male,FRA,BRB,1625,160,104,90,2590
Male,FRA,BEL,16580,70815,52083,52590,26427
Male,FRA,BMU,5,0,0,0,8
Male,FRA,BTN,2,0,0,0,3
Male,FRA,BOL,500,49,0,0,797
Male,FRA,BIH,11541,4131,12982,12303,18396
Male,FRA,BWA,27,65,0,0,38
Male,FRA,BRA,4866,479,3173,6092,7756
Male,FRA,BRN,15,1,0,0,24
Male,FRA,BGR,2460,882,1705,1750,3921
Male,FRA,BFA,84,201,2588,2487,118
Male,FRA,BDI,27,64,0,0,38
Male,FRA,KHM,2354,232,23565,30436,3753
Male,FRA,CMR,475,1136,11003,13774,667
Male,FRA,CAN,9859,971,6569,8103,15716
Male,FRA,CPV,1214,2905,20,34,1707
Male,FRA,CYM,2,0,0,0,3
Male,FRA,CAF,115,276,2318,3912,162
Male,FRA,TCD,79,189,2079,2333,111
Male,FRA,CHI,NA,NA,NA,NA,NA
Male,FRA,CHL,3372,332,3663,6180,5375
Male,FRA,CHN,6644,655,4744,9650,10590
Male,FRA,COL,5552,547,1112,3853,8849
