STABBR,CITY,INSTNM,SATMT25,SATVR25,ADM_RATE,SAT_AVG,GRAD_DEBT_MDN,PCIP27,COSTT4_A
AL,Normal,Alabama A & M University,370,380,0.8738,849,32750,0.0024,22667
AL,Birmingham,University of Alabama at Birmingham,490,480,0.5814,1125,21833,0.009,22684
AL,Montgomery,Amridge University,NULL,NULL,NULL,NULL,22890,0,13380
AL,Huntsville,University of Alabama in Huntsville,540,520,0.7628,1257,22647,0.0132,22059
AL,Montgomery,Alabama State University,360,370,0.459,825,31500,0.0146,19242
AL,Tuscaloosa,The University of Alabama,490,490,0.5259,1202,23290,0.009,28422
AL,Alexander City,Central Alabama Community College,NULL,NULL,NULL,NULL,9500,0,13868
AL,Athens,Athens State University,NULL,NULL,NULL,NULL,18000,0.0205,NULL
AL,Montgomery,Auburn University at Montgomery,445,435,0.7659,1009,23363,0.0083,19255
AL,Auburn,Auburn University,530,530,0.8054,1217,21500,0.0097,29794
AL,Birmingham,Birmingham Southern College,490,500,0.4839,1150,26045,0.0498,48510
AL,Phenix City,Chattahoochee Valley Community College,NULL,NULL,NULL,NULL,10500,0,6980
AL,Selma,Concordia College Alabama,NULL,NULL,0.2363,NULL,35000,0,27520
AL,Montgomery,South University-Montgomery,NULL,NULL,NULL,NULL,25000,0,26892
AL,Enterprise,Enterprise State Community College,NULL,NULL,NULL,NULL,6676,0,8980
AL,Bay Minette,Coastal Alabama Community College,NULL,NULL,NULL,NULL,11000,0,12260
AL,Montgomery,Faulkner University,450,430,0.4538,972,22850,0,30557
AL,Gadsden,Gadsden State Community College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,9714
AL,Albertville,New Beginning College of Cosmetology,NULL,NULL,NULL,NULL,5900,0,NULL
AL,Dothan,George C Wallace Community College-Dothan,NULL,NULL,NULL,NULL,PrivacySuppressed,0,9322
AL,Hanceville,George C Wallace State Community College-Hanceville,NULL,NULL,NULL,NULL,10500,0,10945
AL,Selma,George C Wallace State Community College-Selma,NULL,NULL,NULL,NULL,PrivacySuppressed,0,13819
AL,Birmingham,Herzing University-Birmingham,NULL,NULL,0.9747,NULL,23139.5,0,25945
AL,Montgomery,Huntingdon College,425,420,0.5676,1001,27000,0.0201,34207
AL,Florence,Heritage Christian University,NULL,NULL,0.3333,NULL,PrivacySuppressed,0,19353
AL,Huntsville,J. F. Drake State Community and Technical College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,11938
AL,Deatsville,J F Ingram State Technical College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
AL,Jacksonville,Jacksonville State University,440,430,0.5308,1062,23500,0.013,20750
AL,Brewton,Jefferson Davis Community College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,12093
AL,Birmingham,Jefferson State Community College,NULL,NULL,NULL,NULL,7368,0,13710
AL,Tanner,John C Calhoun State Community College,NULL,NULL,NULL,NULL,10592.5,0,9765
AL,Marion,Judson College,530,580,0.5755,1013,21744,0,30562
AL,Birmingham,Lawson State Community College-Birmingham Campus,NULL,NULL,NULL,NULL,PrivacySuppressed,0,13630
AL,Livingston,University of West Alabama,420,440,0.531,969,26500,0.0324,18533
AL,Andalusia,Lurleen B Wallace Community College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,13558
AL,Marion,Marion Military Institute,500,480,0.6431,1066,11500,0,17228
AL,Fairfield,Miles College,NULL,NULL,NULL,NULL,33754.5,0.0172,22356
AL,Mobile,University of Mobile,420,430,0.6193,1029,26579.5,0.0113,34482
AL,Montevallo,University of Montevallo,460,440,0.6542,1069,24264,0.0096,24599
AL,Muscle Shoals,Northwest-Shoals Community College,NULL,NULL,NULL,NULL,13000,0,11326
AL,Florence,University of North Alabama,435,427,0.5574,1028,22309,0.0059,16601
AL,Rainsville,Northeast Alabama Community College,NULL,NULL,NULL,NULL,4000,0,8290
AL,Huntsville,Oakwood University,360,390,0.4837,886,31000,0.0202,35585
AL,Monroeville,Alabama Southern Community College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,10781
IL,Elmhurst,Prince Institute-Southeast,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
AL,Evergreen,Reid State Technical College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,9164
AL,Mobile,Bishop State Community College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,10179
AL,Birmingham,Samford University,500,520,0.9138,1170,20702,0.0065,43666
AL,Selma,Selma University,NULL,NULL,NULL,NULL,26200,0,9641
AL,Tuscaloosa,Shelton State Community College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,11561
AL,Boaz,Snead State Community College,NULL,NULL,NULL,NULL,6000,0,11226
AL,Mobile,University of South Alabama,450,470,0.805,1011,24761,0.0053,19511
AL,Mobile,Spring Hill College,500,500,0.4353,1121,PrivacySuppressed,0.0236,47815
AL,Birmingham,Southeastern Bible College,NULL,NULL,1,970,29000,0,20923
AL,Tuscaloosa,Stillman College,390,350,0.4192,765,33500,0.0165,20737
AL,Talladega,Talladega College,NULL,NULL,NULL,NULL,31000,0,21601
AL,Montgomery,H Councill Trenholm State Community College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,11484
AL,Troy,Troy University,470,455,0.9125,992,25000,0.0102,18404
AL,Tuskegee,Tuskegee University,450,440,0.4999,1006,32500,0.0088,36457
AL,Daphne,United States Sports Academy,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
AL,Jasper,Bevill State Community College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,12569
AK,Anchorage,University of Alaska Anchorage,NULL,NULL,0.8285,NULL,17833.5,0.0072,18379
AK,Palmer,Alaska Bible College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,17300
AK,Fairbanks,University of Alaska Fairbanks,470,480,0.7347,1060,15000,0.004,16694
AK,Juneau,University of Alaska Southeast,NULL,NULL,0.4896,NULL,16000,0.002,16364
AK,Anchorage,Alaska Pacific University,NULL,NULL,0.5506,NULL,19500,0,30669
AK,Seward,AVTEC-Alaska's Institute of Technology,NULL,NULL,NULL,NULL,5498.5,0,NULL
WA,Vancouver,Charter College,NULL,NULL,NULL,NULL,14875,0,31167
AK,Anchorage,Alaska Career College,NULL,NULL,NULL,NULL,8437,0,NULL
AZ,Tucson,Empire Beauty School-Tucson,NULL,NULL,NULL,NULL,11766,0,NULL
AZ,Glendale,Thunderbird School of Global Management,NULL,NULL,NULL,NULL,20000,NULL,NULL
AZ,Phoenix,American Institute of Trucking,NULL,NULL,NULL,NULL,6002,0,NULL
AZ,Phoenix,Carrington College-Phoenix North,NULL,NULL,0.8451,NULL,9500,0,NULL
AZ,Mesa,Carrington College-Mesa,NULL,NULL,0.4413,NULL,9500,0,NULL
AZ,Tucson,Carrington College-Tucson,NULL,NULL,0.6748,NULL,9500,0,NULL
AZ,Flagstaff,CollegeAmerica-Flagstaff,NULL,NULL,NULL,NULL,25732,0,31236
AZ,Tucson,Arizona Academy of Beauty-East,NULL,NULL,NULL,NULL,4942.5,0,NULL
AZ,Glendale,Arizona Automotive Institute,NULL,NULL,NULL,NULL,11332,0,NULL
AZ,Phoenix,Brookline College-Phoenix,NULL,NULL,NULL,NULL,9500,0,NULL
AZ,Tempe,Arizona State University-Tempe,520,500,0.825,1147,20000,0.0101,23931
AZ,Yuma,Arizona Western College,NULL,NULL,NULL,NULL,4925,0.0117,14559
AZ,Tucson,University of Arizona,NULL,NULL,0.7862,NULL,19000,0.0145,24633
AZ,Tucson,Southwest University of Visual Arts-Tucson,NULL,NULL,NULL,NULL,51488.5,0,32254
AZ,Coolidge,Central Arizona College,NULL,NULL,NULL,NULL,8584,0,10290
AZ,Tucson,Brown Mackie College-Tucson,NULL,NULL,NULL,NULL,22999,0,NULL
AZ,Lake Havasu City,Charles of Italy Beauty College,NULL,NULL,NULL,NULL,7612,0,NULL
AZ,Sierra Vista,Cochise County Community College District,NULL,NULL,NULL,NULL,6835.5,0.0015,10165
AZ,Flagstaff,Empire Beauty School-Flagstaff,NULL,NULL,NULL,NULL,11526,0,NULL
AZ,Chandler,Empire Beauty School-Chandler,NULL,NULL,NULL,NULL,11526,0,NULL
AZ,Tucson,Cortiva Institute-Tucson,NULL,NULL,NULL,NULL,6333,0,NULL
AZ,Mesa,Avalon School of Cosmetology-Mesa,NULL,NULL,NULL,NULL,7442,0,NULL
AZ,Thatcher,Eastern Arizona College,NULL,NULL,NULL,NULL,PrivacySuppressed,0.0044,12813
AZ,Prescott,Embry-Riddle Aeronautical University-Prescott,NULL,NULL,0.7634,NULL,24250,0,48992
